numSell,exposure,drawdown,winLoss,value,fast,slow,sig
85,0.5131160572337043,-0.2727206930138857,2.1481481481481484,12601.626902000004,4,8,5
75,0.49880763116057236,-0.2646720879488973,3.1666666666666665,16568.76871799999,6,8,5
0,0.0,0.0,inf,10000.0,8,8,5
69,0.5238473767885533,-0.2865204257902617,3.0588235294117645,13675.958723999986,2,11,5
78,0.5290143084260731,-0.29064291912167545,2.0,15041.214316999985,4,11,5
77,0.5206677265500795,-0.26835428211783424,2.5,17483.114889999993,6,11,5
68,0.5202702702702703,-0.22551272170594067,3.0,17174.29444199999,8,11,5
57,0.5027821939586645,-0.23371421348385416,1.85,15608.790549000014,10,11,5
58,0.5043720190779014,-0.28699401600367425,3.4615384615384617,13720.094665000004,2,14,5
63,0.5131160572337043,-0.26531045656888724,2.0,15453.597555000006,4,14,5
64,0.5079491255961844,-0.23878070729663894,2.5555555555555554,14830.084015000008,6,14,5
63,0.5170906200317965,-0.24258776607192434,2.3157894736842106,15830.65084199999,8,14,5
61,0.5230524642289348,-0.2616245298884995,1.5416666666666667,15117.851026999992,10,14,5
57,0.5274244833068362,-0.19192312913222184,2.3529411764705883,16820.865778999996,12,14,5
0,0.0,0.0,inf,10000.0,14,14,5
50,0.5063593004769475,-0.2691303632638644,2.5714285714285716,13935.544614999984,2,17,5
60,0.5174880763116058,-0.27339369234653843,1.8571428571428572,13181.244442000001,4,17,5
58,0.5385532591414944,-0.2240779568352915,2.2222222222222223,17311.785430999986,6,17,5
56,0.48926868044515104,-0.23926057073230975,1.434782608695652,11866.241710000008,8,17,5
56,0.48012718600953896,-0.240339386925801,1.9473684210526316,16173.469373999986,10,17,5
54,0.4733704292527822,-0.23487655752771144,2.176470588235294,16270.060727999999,12,17,5
56,0.49165341812400637,-0.21622208621464606,2.111111111111111,15169.44559900001,14,17,5
49,0.4829093799682035,-0.18328880149181367,2.2666666666666666,18313.169121999996,16,17,5
47,0.5238473767885533,-0.2664716973308506,3.272727272727273,14287.099236999986,2,20,5
54,0.5389507154213037,-0.27078792067813695,2.0,13189.125450000009,4,20,5
54,0.5158982511923689,-0.22560289395471486,1.8421052631578947,14869.44943800001,6,20,5
53,0.5003974562798092,-0.20730024553035228,1.7894736842105263,12961.33041000001,8,20,5
53,0.45588235294117646,-0.1980821216953702,2.1176470588235294,15306.070382000009,10,20,5
50,0.48370429252782193,-0.22204597631536874,2.5714285714285716,15997.520704999984,12,20,5
50,0.4829093799682035,-0.22311265376976883,2.125,18235.861192999986,14,20,5
52,0.49642289348171703,-0.21548977275895556,3.0,16784.06952300001,16,20,5
50,0.5023847376788553,-0.18325158572139105,2.3333333333333335,18894.020535000007,18,20,5
0,0.0,0.0,inf,10000.0,20,20,5
47,0.525039745627981,-0.2703167626040881,3.272727272727273,16017.079725999998,2,23,5
47,0.5488871224165341,-0.2733919754410549,2.357142857142857,13951.465934,4,23,5
49,0.5393481717011129,-0.2262153724127547,2.2666666666666666,16328.659797,6,23,5
46,0.527027027027027,-0.20958504991248708,2.066666666666667,14908.109962000008,8,23,5
47,0.5166931637519873,-0.1997991357540642,1.9375,19976.43073799999,10,23,5
48,0.5131160572337043,-0.20385399362745002,3.0,18875.162962999988,12,23,5
49,0.5139109697933227,-0.17469822226986984,3.0833333333333335,20485.169458999997,14,23,5
48,0.4888712241653418,-0.19471664788474125,2.2,17323.730449000013,16,23,5
46,0.4598569157392687,-0.14201673274568452,2.5384615384615383,20274.126105000007,18,23,5
46,0.447933227344992,-0.1378605363091228,3.1818181818181817,24585.790608999992,20,23,5
43,0.5246422893481717,-0.26923890254102933,3.3,16360.549842999988,2,26,5
44,0.5310015898251192,-0.27024115445298735,3.0,16771.655230999997,4,26,5
44,0.5512718600953895,-0.22545161190940136,2.3846153846153846,18382.20973100001,6,26,5
42,0.5437201907790143,-0.1896266288321804,1.8,17580.650247999998,8,26,5
41,0.5190779014308426,-0.18952821173336204,2.1538461538461537,21592.080339,10,26,5
41,0.5131160572337043,-0.20113362690494146,2.4166666666666665,22676.109524999985,12,26,5
42,0.5047694753577107,-0.1687722524729044,2.230769230769231,19904.52089199999,14,26,5
43,0.5063593004769475,-0.1654932978664677,2.3076923076923075,19592.740225000012,16,26,5
45,0.4841017488076312,-0.14528957460604636,1.8125,20946.410637999998,18,26,5
46,0.4713831478537361,-0.12065040464571307,2.2857142857142856,21900.689809000003,20,26,5
43,0.53060413354531,-0.2705761107560088,5.142857142857143,17148.629766,2,29,5
39,0.516295707472178,-0.2664106924468267,3.3333333333333335,16556.395389999998,4,29,5
41,0.5568362480127186,-0.22607510841738107,2.1538461538461537,17695.489274,6,29,5
41,0.5170906200317965,-0.1353056022257883,1.9285714285714286,19825.31988500001,8,29,5
40,0.5210651828298887,-0.18985943383625384,2.3333333333333335,20954.298884999986,10,29,5
40,0.5178855325914149,-0.22241258566968305,2.076923076923077,19498.040318999992,12,29,5
38,0.5373608903020668,-0.16528145854584583,3.2222222222222223,23126.900743999995,14,29,5
40,0.5298092209856916,-0.13013758699833933,3.0,25146.799798999997,16,29,5
39,0.510731319554849,-0.12165089825258245,2.9,22694.659823,18,29,5
40,0.4872813990461049,-0.1326286533372512,3.0,20844.435505999983,20,29,5
41,0.5206677265500795,-0.27061440477789156,4.125,16695.275183,2,32,5
40,0.5536565977742448,-0.26952001092529654,3.4444444444444446,14878.589505000007,4,32,5
40,0.5409379968203497,-0.2267932399117542,2.3333333333333335,18343.449120000005,6,32,5
