,avgType,fast,slow,sig,delay,window,stdev,numSell,exposure,drawdown,winLoss,value,zzz
18,logarithmic,5,12,3,1,9,1.2,191,0.5260815822002473,-0.2209519091455078,2.7450980392156863,35502.18000000005,logarithmic-5-12-3-1-9-1.2
0,simple,11,12,3,1,9,1.6,169,0.5755253399258343,-0.2225217117717267,1.7704918032786885,35448.129999999976,simple-11-12-3-1-9-1.6
28,simple,11,12,3,2,9,1.2,102,0.5737948084054388,-0.2378654879362783,3.25,35408.060000000034,simple-11-12-3-2-9-1.2
0,logarithmic,7,8,3,2,3,2.0,146,0.627194066749073,-0.2068980865646528,2.743589743589744,35386.119999999995,logarithmic-7-8-3-2-3-2.0
3,logarithmic,7,8,6,2,9,1.2,152,0.5334981458590853,-0.222461557509141,2.619047619047619,35364.71000000001,logarithmic-7-8-6-2-9-1.2
69,simple,9,12,3,2,9,1.4,129,0.5404202719406674,-0.2597704494673852,2.0,35312.079999999994,simple-9-12-3-2-9-1.4
78,exponential,11,12,3,1,12,2.0,192,0.5705809641532756,-0.3123066166954193,3.1739130434782608,35264.19999999999,exponential-11-12-3-1-12-2.0
110,exponential,9,12,6,1,12,1.4,180,0.5352286773794809,-0.2566298803459936,3.5,35253.95999999999,exponential-9-12-6-1-12-1.4
123,logarithmic,7,8,6,2,6,1.4,155,0.5381953028430161,-0.2118831745000531,2.6904761904761907,35236.11999999997,logarithmic-7-8-6-2-6-1.4
17,logarithmic,5,8,6,1,6,1.2,197,0.5317676143386897,-0.2797299353622914,2.94,35131.98000000004,logarithmic-5-8-6-1-6-1.2
15,logarithmic,7,8,6,2,15,1.2,153,0.5483312731767614,-0.1729637511324233,2.731707317073171,35121.629999999976,logarithmic-7-8-6-2-15-1.2
22,simple,11,12,3,2,6,1.2,106,0.5903584672435105,-0.2485400708267909,3.076923076923077,35117.93999999999,simple-11-12-3-2-6-1.2
25,simple,11,12,3,2,6,1.8,114,0.6385661310259579,-0.3420113925959161,2.8,35078.13999999999,simple-11-12-3-2-6-1.8
111,exponential,9,12,6,1,12,1.6,183,0.54610630407911,-0.2562312506007396,3.159090909090909,35065.25,exponential-9-12-6-1-12-1.6
24,logarithmic,5,12,3,1,12,1.2,190,0.5325092707045735,-0.2208715243440795,2.877551020408163,35059.900000000045,logarithmic-5-12-3-1-12-1.2
105,logarithmic,7,12,3,1,15,1.2,176,0.5310259579728059,-0.1835026102360231,3.4,35059.510000000024,logarithmic-7-12-3-1-15-1.2
44,simple,11,12,3,2,15,2.0,112,0.6736711990111248,-0.4582403256708506,3.1481481481481484,35028.96,simple-11-12-3-2-15-2.0
25,exponential,7,12,6,1,12,1.4,190,0.5352286773794809,-0.2556491216926689,3.3181818181818183,35009.19000000001,exponential-7-12-6-1-12-1.4
94,logarithmic,7,12,3,1,9,1.4,185,0.5377008652657602,-0.1921348314606744,3.111111111111111,35008.47,logarithmic-7-12-3-1-9-1.4
20,logarithmic,5,12,3,1,9,1.6,201,0.5550061804697157,-0.2357461135714101,2.792452830188679,34951.680000000015,logarithmic-5-12-3-1-9-1.6
26,exponential,7,12,6,1,12,1.6,193,0.5483312731767614,-0.2541470300520332,3.106382978723404,34950.93000000004,exponential-7-12-6-1-12-1.6
32,simple,11,12,3,2,9,2.0,109,0.6489493201483313,-0.4582403256708506,3.36,34816.159999999974,simple-11-12-3-2-9-2.0
77,exponential,11,12,3,1,12,1.8,193,0.5572311495673671,-0.2482722836928502,3.020833333333333,34765.35,exponential-11-12-3-1-12-1.8
34,logarithmic,5,8,6,1,15,1.0,191,0.5367119901112485,-0.2050339207400672,3.152173913043478,34764.100000000064,logarithmic-5-8-6-1-15-1.0
8,logarithmic,7,8,3,2,9,1.2,130,0.573300370828183,-0.1956012074716137,2.9393939393939394,34654.86,logarithmic-7-8-3-2-9-1.2
15,logarithmic,5,8,6,1,3,2.0,220,0.5802224969097651,-0.3243733986204403,2.793103448275862,34647.32999999999,logarithmic-5-8-6-1-3-2.0
84,exponential,11,12,3,1,15,2.0,191,0.573300370828183,-0.3123066166954193,3.152173913043478,34495.580000000016,exponential-11-12-3-1-15-2.0
