,avgType,fast,slow,sig,delay,window,stdev,numSell,exposure,drawdown,winLoss,value,zzz
73,simple,9,20,6,3,9,1.2,79,0.4630407911001236,-0.334505469970976,2.2916666666666665,18164.73,simple-9-20-6-3-9-1.2
74,simple,9,20,6,3,9,1.4,77,0.47490729295426454,-0.34813667485301786,2.5,17671.129999999986,simple-9-20-6-3-9-1.4
75,simple,9,20,6,3,9,1.6,78,0.488504326328801,-0.3593854655056932,2.5454545454545454,18146.040000000008,simple-9-20-6-3-9-1.6
76,simple,9,20,6,3,9,1.8,77,0.4976514215080346,-0.4350245590533602,2.347826086956522,15694.460000000001,simple-9-20-6-3-9-1.8
77,simple,9,20,6,3,9,2.0,78,0.5035846724351051,-0.5159773386916723,2.25,13596.709999999995,simple-9-20-6-3-9-2.0
78,simple,9,20,6,3,12,1.0,75,0.4454882571075402,-0.3927755451365633,2.260869565217391,15550.099999999995,simple-9-20-6-3-12-1.0
79,simple,9,20,6,3,12,1.2,76,0.4699629171817058,-0.34813667485301786,2.619047619047619,18932.060000000005,simple-9-20-6-3-12-1.2
80,simple,9,20,6,3,12,1.4,78,0.4758961681087763,-0.3593854655056932,2.391304347826087,18304.10999999999,simple-9-20-6-3-12-1.4
81,simple,9,20,6,3,12,1.6,77,0.4941903584672435,-0.41701365632209564,2.5,16058.580000000002,simple-9-20-6-3-12-1.6
82,simple,9,20,6,3,12,1.8,78,0.496168108776267,-0.40725422341296436,2.391304347826087,17131.759999999984,simple-9-20-6-3-12-1.8
83,simple,9,20,6,3,12,2.0,84,0.5060568603213844,-0.579609473840887,2.111111111111111,11550.84,simple-9-20-6-3-12-2.0
84,simple,9,20,6,3,15,1.0,76,0.4519159456118665,-0.3402433578923869,2.4545454545454546,17156.15999999999,simple-9-20-6-3-15-1.0
85,simple,9,20,6,3,15,1.2,78,0.47045735475896167,-0.3593854655056932,2.391304347826087,18339.969999999998,simple-9-20-6-3-15-1.2
86,simple,9,20,6,3,15,1.4,77,0.48405438813349816,-0.38546457542606255,2.6666666666666665,17942.749999999985,simple-9-20-6-3-15-1.4
87,simple,9,20,6,3,15,1.6,77,0.49147095179233624,-0.41701365632209564,2.5,16923.489999999994,simple-9-20-6-3-15-1.6
88,simple,9,20,6,3,15,1.8,82,0.5065512978986403,-0.47335993897447354,2.4166666666666665,14688.810000000003,simple-9-20-6-3-15-1.8
89,simple,9,20,6,3,15,2.0,80,0.5199011124845488,-0.5159773386916723,2.4782608695652173,13388.03999999999,simple-9-20-6-3-15-2.0
90,simple,9,20,6,4,3,1.0,69,0.407663782447466,-0.43174232906931403,1.76,9664.16,simple-9-20-6-4-3-1.0
91,simple,9,20,6,4,3,1.2,73,0.4289245982694685,-0.42752624786354565,1.4333333333333333,9664.429999999993,simple-9-20-6-4-3-1.2
92,simple,9,20,6,4,3,1.4,70,0.4551297898640297,-0.41919014101125207,1.8,11020.520000000004,simple-9-20-6-4-3-1.4
93,simple,9,20,6,4,3,1.6,72,0.45834363411619283,-0.36594775060670065,1.6666666666666667,11653.069999999985,simple-9-20-6-4-3-1.6
94,simple,9,20,6,4,3,1.8,73,0.4672435105067985,-0.36896638629286455,1.7037037037037037,12201.469999999988,simple-9-20-6-4-3-1.8
95,simple,9,20,6,4,3,2.0,72,0.4687268232385661,-0.3304481041023429,1.7692307692307692,13181.039999999994,simple-9-20-6-4-3-2.0
96,simple,9,20,6,4,6,1.0,62,0.40222496909765143,-0.35162966897544023,2.4444444444444446,13580.009999999997,simple-9-20-6-4-6-1.0
97,simple,9,20,6,4,6,1.2,66,0.4266996291718171,-0.3690400115535024,2.3,13951.199999999992,simple-9-20-6-4-6-1.2
98,simple,9,20,6,4,6,1.4,66,0.4482076637824475,-0.32262494820274074,2.0,13758.780000000002,simple-9-20-6-4-6-1.4
99,simple,9,20,6,4,6,1.6,65,0.45414091470951795,-0.3146054582747711,2.0952380952380953,13819.439999999997,simple-9-20-6-4-6-1.6
100,simple,9,20,6,4,6,1.8,69,0.46526576019777505,-0.3419714013058097,1.875,12757.039999999995,simple-9-20-6-4-6-1.8
101,simple,9,20,6,4,6,2.0,69,0.4684796044499382,-0.3419714013058097,1.76,13101.089999999995,simple-9-20-6-4-6-2.0
102,simple,9,20,6,4,9,1.0,60,0.3982694684796044,-0.375956066485498,2.0,12054.569999999998,simple-9-20-6-4-9-1.0
103,simple,9,20,6,4,9,1.2,66,0.4333745364647713,-0.29832766827855606,2.0,13622.410000000002,simple-9-20-6-4-9-1.2
104,simple,9,20,6,4,9,1.4,64,0.44474660074165634,-0.3146054582747711,2.2,13554.029999999993,simple-9-20-6-4-9-1.4
105,simple,9,20,6,4,9,1.6,65,0.45710754017305316,-0.32649876960862495,2.0952380952380953,14377.799999999994,simple-9-20-6-4-9-1.6
106,simple,9,20,6,4,9,1.8,65,0.4647713226205192,-0.4047265529502489,2.0952380952380953,12509.430000000002,simple-9-20-6-4-9-1.8
107,simple,9,20,6,4,9,2.0,66,0.4699629171817058,-0.48354333837697805,2.0,10962.279999999993,simple-9-20-6-4-9-2.0
108,simple,9,20,6,4,12,1.0,60,0.40395550061804697,-0.36347375306653906,2.1578947368421053,11711.929999999991,simple-9-20-6-4-12-1.0
109,simple,9,20,6,4,12,1.2,63,0.4393077873918418,-0.3146054582747711,2.5,15111.169999999993,simple-9-20-6-4-12-1.2
110,simple,9,20,6,4,12,1.4,65,0.44573547589616813,-0.32649876960862495,2.0952380952380953,14014.749999999993,simple-9-20-6-4-12-1.4
111,simple,9,20,6,4,12,1.6,64,0.46279357231149565,-0.38555755560359,2.2,12811.710000000001,simple-9-20-6-4-12-1.6
112,simple,9,20,6,4,12,1.8,65,0.4642768850432633,-0.3752953269669504,2.0952380952380953,13160.16999999998,simple-9-20-6-4-12-1.8
113,simple,9,20,6,4,12,2.0,68,0.47045735475896167,-0.5502553758239183,1.8333333333333333,8873.829999999998,simple-9-20-6-4-12-2.0
114,simple,9,20,6,4,15,1.0,62,0.41878862793572313,-0.3053447219655301,2.263157894736842,13325.89999999999,simple-9-20-6-4-15-1.0
115,simple,9,20,6,4,15,1.2,63,0.4378244746600742,-0.32649876960862495,2.15,13839.139999999998,simple-9-20-6-4-15-1.2
116,simple,9,20,6,4,15,1.4,65,0.4543881334981459,-0.35402329012411476,2.25,13712.17,simple-9-20-6-4-15-1.4
117,simple,9,20,6,4,15,1.6,65,0.461557478368356,-0.38555755560359,2.0952380952380953,12720.890000000001,simple-9-20-6-4-15-1.6
118,simple,9,20,6,4,15,1.8,68,0.47194066749072927,-0.44704786302680966,1.9565217391304348,11197.569999999998,simple-9-20-6-4-15-1.8
119,simple,9,20,6,4,15,2.0,67,0.48158220024721876,-0.48354333837697805,1.9130434782608696,9853.909999999989,simple-9-20-6-4-15-2.0
