,fast,slow,sig,delay,numSell,exposure,drawdown,winLoss,value,zzz
34,7,9,4,2,172,0.6201186356895699,-0.3583638057967808,1.9655172413793103,21805.596899999993,7-9-4-2
35,7,9,4,3,67,0.5622837370242214,-0.3126478453836746,1.68,17563.72500000001,7-9-4-3
36,7,9,5,1,208,0.5753830944142363,-0.35514470589132213,1.9714285714285715,21111.264399999996,7-9-5-1
37,7,9,5,2,181,0.5850222441917944,-0.37511707692142987,1.7424242424242424,22786.745900000013,7-9-5-2
38,7,9,5,3,73,0.5148294611962432,-0.37126367387716763,2.1739130434782608,17942.544799999996,7-9-5-3
39,7,10,3,1,218,0.5887296094908552,-0.31794735927713325,2.0277777777777777,28125.76450000001,7-10-3-1
40,7,10,3,2,165,0.596885813148789,-0.39387598809552643,2.36734693877551,21559.797300000006,7-10-3-2
41,7,10,3,3,62,0.5674740484429066,-0.31781562790810636,2.1,15667.839999999997,7-10-3-3
42,7,10,4,1,208,0.5771131982204647,-0.35578370647020036,1.7733333333333334,18869.66010000005,7-10-4-1
43,7,10,4,2,181,0.5795847750865052,-0.384563493398197,1.9672131147540983,20189.538799999988,7-10-4-2
44,7,10,4,3,78,0.5679683638161147,-0.33733047041742975,2.0,18666.785500000013,7-10-4-3
45,7,10,5,1,201,0.574147305981216,-0.38328076376138515,1.7162162162162162,21071.959999999977,7-10-5-1
46,7,10,5,2,183,0.5640138408304498,-0.3657464018067003,1.6911764705882353,20999.830200000004,7-10-5-2
47,7,10,5,3,90,0.5610479485912012,-0.3237371883140965,1.8125,16409.037100000012,7-10-5-3
48,7,12,3,1,189,0.5625308947108255,-0.2698438838583283,2.2586206896551726,22433.933199999963,7-12-3-1
49,7,12,3,2,148,0.5284231339594662,-0.2814934745909162,2.5238095238095237,20057.549599999995,7-12-3-2
50,7,12,3,3,74,0.5410281759762728,-0.38065895184093596,1.4666666666666666,14677.054200000008,7-12-3-3
51,7,12,4,1,184,0.5704399406821552,-0.3535359840209725,2.1724137931034484,23388.754400000013,7-12-4-1
52,7,12,4,2,161,0.5672268907563025,-0.36093906429885386,1.7758620689655173,23534.72710000002,7-12-4-2
53,7,12,4,3,85,0.49925852694018785,-0.3580867274060567,1.65625,13552.109900000003,7-12-4-3
54,7,12,5,1,176,0.5721700444883836,-0.322340201228237,1.9830508474576272,21001.057699999983,7-12-5-1
55,7,12,5,2,154,0.5652496292634701,-0.3865729284587042,1.75,18557.162900000018,7-12-5-2
56,7,12,5,3,89,0.4807217004448838,-0.3709751926733725,1.9666666666666666,16447.35489999999,7-12-5-3
57,7,14,3,1,168,0.5684626791893228,-0.33405967431236133,2.36,20053.739099999995,7-14-3-1
58,7,14,3,2,137,0.5130993573900148,-0.25709107187038893,2.261904761904762,18828.868899999998,7-14-3-2
59,7,14,3,3,66,0.5054374691052892,-0.23768575570858994,1.75,15766.380000000023,7-14-3-3
60,7,14,4,1,161,0.5620365793376174,-0.33988111604603116,2.3541666666666665,23720.4569,7-14-4-1
61,7,14,4,2,145,0.546465645081562,-0.3213511465144513,1.9591836734693877,23151.272000000015,7-14-4-2
62,7,14,4,3,84,0.4834404349975284,-0.32933340621728113,2.230769230769231,18015.3219,7-14-4-3
63,7,14,5,1,161,0.5682155215027187,-0.36184580050634263,2.0961538461538463,20762.5925,7-14-5-1
64,7,14,5,2,147,0.5726643598615917,-0.3797686478560073,1.8823529411764706,21202.42260000003,7-14-5-2
65,7,14,5,3,101,0.5331191300049432,-0.3502602335068224,2.740740740740741,19233.316,7-14-5-3
66,7,16,3,1,154,0.5687098368759268,-0.3182647674279176,2.7560975609756095,22935.523100000017,7-16-3-1
67,7,16,3,2,126,0.5148294611962432,-0.2865941609763391,2.7058823529411766,20942.18850000003,7-16-3-2
68,7,16,3,3,70,0.49876421156697975,-0.32934355221934836,2.6842105263157894,21023.205900000026,7-16-3-3
69,7,16,4,1,149,0.5632723677706377,-0.3417592696277655,2.4651162790697674,23150.737000000052,7-16-4-1
70,7,16,4,2,134,0.5514087988136431,-0.34881873656019474,2.268292682926829,23393.721400000017,7-16-4-2
71,7,16,4,3,74,0.48912506178942167,-0.3405016508508644,2.7,15443.280000000004,7-16-4-3
72,7,16,5,1,145,0.5677212061295106,-0.37154219924299986,2.2954545454545454,21852.112999999998,7-16-5-1
73,7,16,5,2,131,0.5521502718734552,-0.4232790590146015,1.9772727272727273,20328.471800000014,7-16-5-2
74,7,16,5,3,93,0.5200197726149284,-0.3701339835622564,2.576923076923077,16823.594100000013,7-16-5-3
75,7,18,3,1,145,0.5654967869500741,-0.33491403150174326,2.4523809523809526,22795.084800000008,7-18-3-1
76,7,18,3,2,118,0.5242214532871973,-0.3571379055647702,2.806451612903226,23891.711200000016,7-18-3-2
77,7,18,3,3,68,0.5113692535837865,-0.35739402072981846,3.0,18079.10510000002,7-18-3-3
78,7,18,4,1,142,0.550914483440435,-0.3973504128468132,2.380952380952381,24036.882600000015,7-18-4-1
79,7,18,4,2,127,0.5459713297083539,-0.3690126548743987,2.6285714285714286,23708.42090000001,7-18-4-2
80,7,18,4,3,73,0.4851705388037568,-0.3892535528224443,2.8421052631578947,14092.218000000006,7-18-4-3
81,7,18,5,1,137,0.5434997528423134,-0.39549438180927404,2.5128205128205128,22878.95510000001,7-18-5-1
82,7,18,5,2,125,0.542016806722689,-0.4390854039462917,2.3783783783783785,21418.913400000012,7-18-5-2
83,7,18,5,3,89,0.4898665348492338,-0.4162491492484689,2.1785714285714284,15783.444599999993,7-18-5-3
84,7,20,3,1,140,0.5457241720217498,-0.33294870191781634,2.888888888888889,25924.517299999985,7-20-3-1
85,7,20,3,2,114,0.49703410776075135,-0.3738966938811313,2.6774193548387095,22005.501299999996,7-20-3-2
86,7,20,3,3,64,0.4782501235788433,-0.3564854357427065,2.2,13524.834000000013,7-20-3-3
87,7,20,4,1,135,0.5390509144834404,-0.39034411569249877,3.090909090909091,28304.990000000013,7-20-4-1
88,7,20,4,2,122,0.5279288185862581,-0.43934076639683384,2.4857142857142858,22330.107,7-20-4-2
89,7,20,4,3,71,0.4424122590212556,-0.42051580915151054,2.736842105263158,12706.703700000005,7-20-4-3
90,7,20,5,1,133,0.5299060800790905,-0.34021622388217154,2.911764705882353,28681.09000000004,7-20-5-1
91,7,20,5,2,122,0.5207612456747405,-0.43447509618726066,2.210526315789474,20514.425600000028,7-20-5-2
