,avgType,windowSlow,windowFast,steepness,stdev,numSell,exposure,drawdown,winLoss,value,zzz
7,logarithmic,125,20,3,1.0,76,0.38822947576656774,-0.11613848229206515,4.846153846153846,23189.009999999987,logarithmic-125-20-3-1.0
8,logarithmic,125,20,4,1.0,74,0.3669634025717112,-0.11613848229206515,4.6923076923076925,22717.929999999997,logarithmic-125-20-4-1.0
9,logarithmic,125,20,5,1.0,73,0.3632542037586548,-0.11644319827780956,4.615384615384615,21501.32999999998,logarithmic-125-20-5-1.0
10,logarithmic,125,20,1,1.2,81,0.41097922848664686,-0.1525978440322426,5.230769230769231,22434.519999999997,logarithmic-125-20-1-1.2
11,logarithmic,125,20,2,1.2,79,0.41097922848664686,-0.17745378912951992,5.076923076923077,22376.729999999996,logarithmic-125-20-2-1.2
12,logarithmic,125,20,3,1.2,76,0.39020771513353114,-0.11654850790353982,4.846153846153846,24080.35,logarithmic-125-20-3-1.2
13,logarithmic,125,20,4,1.2,74,0.36869436201780414,-0.11632911538361164,4.6923076923076925,23579.439999999988,logarithmic-125-20-4-1.2
14,logarithmic,125,20,5,1.2,74,0.3694362017804154,-0.11646300780699684,4.6923076923076925,22564.15999999999,logarithmic-125-20-5-1.2
15,logarithmic,125,20,1,1.4,81,0.4124629080118694,-0.13933912790133057,5.230769230769231,22945.720000000005,logarithmic-125-20-1-1.4
16,logarithmic,125,20,2,1.4,80,0.42037586547972305,-0.14378216956395085,5.666666666666667,25241.48,logarithmic-125-20-2-1.4
17,logarithmic,125,20,3,1.4,77,0.3993570722057369,-0.11623346161781363,6.0,26549.10999999999,logarithmic-125-20-3-1.4
18,logarithmic,125,20,4,1.4,75,0.37809099901088034,-0.11623346161781363,5.818181818181818,26033.769999999997,logarithmic-125-20-4-1.4
19,logarithmic,125,20,5,1.4,75,0.37710187932739864,-0.11645377258045338,5.818181818181818,25096.81999999999,logarithmic-125-20-5-1.4
20,logarithmic,125,20,1,1.6,83,0.4206231454005935,-0.13933912790133057,5.384615384615385,24384.24,logarithmic-125-20-1-1.6
21,logarithmic,125,20,2,1.6,81,0.42433234421364985,-0.13933912790133057,5.75,25863.899999999998,logarithmic-125-20-2-1.6
22,logarithmic,125,20,3,1.6,79,0.4052917903066271,-0.11640917593821805,6.181818181818182,27327.36999999997,logarithmic-125-20-3-1.6
23,logarithmic,125,20,4,1.6,77,0.3840257171117705,-0.11640917593821805,6.0,26782.339999999964,logarithmic-125-20-4-1.6
24,logarithmic,125,20,5,1.6,76,0.38031651829871416,-0.11645201520193396,5.909090909090909,25386.67,logarithmic-125-20-5-1.6
25,logarithmic,125,20,1,1.8,85,0.4245796241345203,-0.13933912790133057,5.071428571428571,24626.319999999985,logarithmic-125-20-1-1.8
26,logarithmic,125,20,2,1.8,83,0.42828882294757664,-0.13933912790133057,5.384615384615385,26114.350000000006,logarithmic-125-20-2-1.8
27,logarithmic,125,20,3,1.8,80,0.4065281899109792,-0.12416441258463651,5.666666666666667,27093.039999999983,logarithmic-125-20-3-1.8
28,logarithmic,125,20,4,1.8,78,0.38526211671612265,-0.12416441258463651,5.5,26541.209999999992,logarithmic-125-20-4-1.8
29,logarithmic,125,20,5,1.8,77,0.3815529179030663,-0.12420015485640323,5.416666666666667,25144.769999999997,logarithmic-125-20-5-1.8
30,logarithmic,125,30,1,1.0,77,0.39119683481701284,-0.2510499732504306,3.8125,18950.029999999988,logarithmic-125-30-1-1.0
31,logarithmic,125,30,2,1.0,75,0.3855093966369931,-0.2564490815724383,4.0,18379.669999999995,logarithmic-125-30-2-1.0
32,logarithmic,125,30,3,1.0,73,0.38625123639960435,-0.22789666332292366,3.5625,16784.590000000004,logarithmic-125-30-3-1.0
33,logarithmic,125,30,4,1.0,75,0.3971315529179031,-0.2247701551776849,3.6875,17075.530000000002,logarithmic-125-30-4-1.0
34,logarithmic,125,30,5,1.0,74,0.39144411473788326,-0.2247701551776849,3.933333333333333,17194.479999999996,logarithmic-125-30-5-1.0
35,logarithmic,125,30,1,1.2,79,0.4065281899109792,-0.22251597602227544,3.9375,19710.350000000006,logarithmic-125-30-1-1.2
36,logarithmic,125,30,2,1.2,77,0.4030662710187933,-0.21642079006951473,4.133333333333334,19373.470000000016,logarithmic-125-30-2-1.2
37,logarithmic,125,30,3,1.2,75,0.3991097922848665,-0.20136808451938498,4.0,17843.870000000003,logarithmic-125-30-3-1.2
38,logarithmic,125,30,4,1.2,76,0.402324431256182,-0.22702928810171316,3.75,17047.30000000001,logarithmic-125-30-4-1.2
39,logarithmic,125,30,5,1.2,75,0.3963897131552918,-0.23347220747621295,4.0,17022.880000000012,logarithmic-125-30-5-1.2
0,logarithmic,125,30,1,1.4,79,0.4085064292779426,-0.25043578628989777,3.9375,18989.90999999999,logarithmic-125-30-1-1.4
1,logarithmic,125,30,2,1.4,77,0.40479723046488625,-0.2514704466793057,4.133333333333334,18532.67,logarithmic-125-30-2-1.4
2,logarithmic,125,30,3,1.4,75,0.40059347181008903,-0.21803096447524306,4.0,17487.789999999994,logarithmic-125-30-3-1.4
3,logarithmic,125,30,4,1.4,76,0.40801186943620177,-0.217825915846899,4.066666666666666,17238.27,logarithmic-125-30-4-1.4
4,logarithmic,125,30,5,1.4,75,0.4020771513353116,-0.21995093769981913,4.357142857142857,17310.359999999997,logarithmic-125-30-5-1.4
5,logarithmic,125,30,1,1.6,80,0.412215628090999,-0.2865287484150353,4.0,18093.619999999995,logarithmic-125-30-1-1.6
6,logarithmic,125,30,2,1.6,78,0.4136993076162216,-0.26933746857049834,4.2,18421.309999999994,logarithmic-125-30-2-1.6
7,logarithmic,125,30,3,1.6,76,0.40974282888229474,-0.2734428050159396,4.066666666666666,17068.949999999997,logarithmic-125-30-3-1.6
8,logarithmic,125,30,4,1.6,77,0.41716122650840753,-0.27279133228522845,4.133333333333334,16824.94000000001,logarithmic-125-30-4-1.6
9,logarithmic,125,30,5,1.6,77,0.4146884272997033,-0.26483009897132553,4.5,17137.849999999995,logarithmic-125-30-5-1.6
10,logarithmic,125,30,1,1.8,81,0.4218595450049456,-0.31660128211065325,4.0625,17849.23999999999,logarithmic-125-30-1-1.8
11,logarithmic,125,30,2,1.8,79,0.4179030662710188,-0.33318478491449716,4.266666666666667,17004.59,logarithmic-125-30-2-1.8
12,logarithmic,125,30,3,1.8,77,0.413946587537092,-0.33638876471580004,4.133333333333334,15749.909999999998,logarithmic-125-30-3-1.8
13,logarithmic,125,30,4,1.8,78,0.42136498516320475,-0.33606723292733204,4.2,15531.739999999994,logarithmic-125-30-4-1.8
14,logarithmic,125,30,5,1.8,79,0.4235905044510386,-0.32881522055097046,4.642857142857143,16602.059999999998,logarithmic-125-30-5-1.8
15,logarithmic,125,40,1,1.0,79,0.4025717111770524,-0.15158069148532727,3.9375,23279.999999999996,logarithmic-125-40-1-1.0
16,logarithmic,125,40,2,1.0,72,0.3639960435212661,-0.15117194292285588,3.8,18810.52,logarithmic-125-40-2-1.0
17,logarithmic,125,40,3,1.0,71,0.35781404549950546,-0.17201264386257734,4.071428571428571,19077.35999999999,logarithmic-125-40-3-1.0
18,logarithmic,125,40,4,1.0,74,0.38130563798219586,-0.16365507261374412,3.933333333333333,19288.490000000005,logarithmic-125-40-4-1.0
19,logarithmic,125,40,5,1.0,73,0.3798219584569733,-0.1660669071268456,3.8666666666666667,18340.750000000007,logarithmic-125-40-5-1.0
20,logarithmic,125,40,1,1.2,80,0.41444114737883286,-0.24236908277304225,3.7058823529411766,20843.7,logarithmic-125-40-1-1.2
21,logarithmic,125,40,2,1.2,75,0.37809099901088034,-0.24075128431126677,3.411764705882353,16948.149999999998,logarithmic-125-40-2-1.2
22,logarithmic,125,40,3,1.2,74,0.3724035608308605,-0.24075128431126677,3.625,17617.609999999997,logarithmic-125-40-3-1.2
23,logarithmic,125,40,4,1.2,76,0.39416419386745793,-0.2418020415780845,3.4705882352941178,17492.719999999987,logarithmic-125-40-4-1.2
24,logarithmic,125,40,5,1.2,75,0.39342235410484666,-0.24809961213262144,3.411764705882353,16612.869999999988,logarithmic-125-40-5-1.2
25,logarithmic,125,40,1,1.4,83,0.4235905044510386,-0.26668773729785356,3.8823529411764706,20939.899999999994,logarithmic-125-40-1-1.4
26,logarithmic,125,40,2,1.4,76,0.3850148367952522,-0.26616549460585176,3.75,16895.27999999999,logarithmic-125-40-2-1.4
27,logarithmic,125,40,3,1.4,75,0.37932739861523246,-0.26616549460585176,4.0,17570.539999999994,logarithmic-125-40-3-1.4
28,logarithmic,125,40,4,1.4,77,0.4010880316518299,-0.26702640419351176,3.8125,17442.509999999987,logarithmic-125-40-4-1.4
29,logarithmic,125,40,5,1.4,76,0.4003461918892186,-0.26702640419351176,3.75,16561.02999999999,logarithmic-125-40-5-1.4
30,logarithmic,125,40,1,1.6,83,0.4240850642927794,-0.3320974597733287,3.8823529411764706,19075.899999999998,logarithmic-125-40-1-1.6
31,logarithmic,125,40,2,1.6,76,0.3855093966369931,-0.3313094216045295,3.75,15397.109999999995,logarithmic-125-40-2-1.6
32,logarithmic,125,40,3,1.6,75,0.3798219584569733,-0.3313094216045295,4.0,16051.499999999982,logarithmic-125-40-3-1.6
33,logarithmic,125,40,4,1.6,77,0.40158259149357073,-0.33251919050942086,3.8125,15843.059999999992,logarithmic-125-40-4-1.6
34,logarithmic,125,40,5,1.6,76,0.40084075173095945,-0.33251919050942086,3.75,15084.42,logarithmic-125-40-5-1.6
35,logarithmic,125,40,1,1.8,83,0.4245796241345203,-0.4052125499920983,3.8823529411764706,16949.27999999999,logarithmic-125-40-1-1.8
36,logarithmic,125,40,2,1.8,76,0.3860039564787339,-0.4035870043791971,3.75,13702.370000000003,logarithmic-125-40-2-1.8
37,logarithmic,125,40,3,1.8,75,0.38006923837784373,-0.3168329933826011,4.0,16385.979999999996,logarithmic-125-40-3-1.8
38,logarithmic,125,40,4,1.8,77,0.40182987141444115,-0.3179652379947745,3.8125,16205.24999999999,logarithmic-125-40-4-1.8
39,logarithmic,125,40,5,1.8,76,0.4010880316518299,-0.3179652379947745,3.75,15428.999999999984,logarithmic-125-40-5-1.8
0,logarithmic,150,10,1,1.0,61,0.2898120672601385,-0.09289752541011422,4.083333333333333,18136.30999999998,logarithmic-150-10-1-1.0
1,logarithmic,150,10,2,1.0,53,0.24629080118694363,-0.0821018876949924,5.625,17269.00999999999,logarithmic-150-10-2-1.0
2,logarithmic,150,10,3,1.0,47,0.206973293768546,-0.0781114552432231,6.833333333333333,17634.179999999997,logarithmic-150-10-3-1.0
3,logarithmic,150,10,4,1.0,46,0.20499505440158258,-0.0781114552432231,6.666666666666667,17895.14,logarithmic-150-10-4-1.0
4,logarithmic,150,10,5,1.0,44,0.1943620178041543,-0.07917722153413824,6.333333333333333,17483.01000000001,logarithmic-150-10-5-1.0
5,logarithmic,150,10,1,1.2,63,0.2959940652818991,-0.0928501929741358,3.8461538461538463,18788.97999999998,logarithmic-150-10-1-1.2
6,logarithmic,150,10,2,1.2,54,0.2509891196834817,-0.0821018876949924,5.75,18099.72999999999,logarithmic-150-10-2-1.2
7,logarithmic,150,10,3,1.2,48,0.21167161226508407,-0.0781114552432231,7.0,18495.459999999992,logarithmic-150-10-3-1.2
8,logarithmic,150,10,4,1.2,46,0.20499505440158258,-0.0781114552432231,6.666666666666667,17895.14,logarithmic-150-10-4-1.2
9,logarithmic,150,10,5,1.2,44,0.1943620178041543,-0.07917722153413824,6.333333333333333,17483.01000000001,logarithmic-150-10-5-1.2
10,logarithmic,150,10,1,1.4,64,0.3014342235410485,-0.09318183995046332,3.923076923076923,18770.45,logarithmic-150-10-1-1.4
11,logarithmic,150,10,2,1.4,56,0.25568743818001977,-0.08235464162290045,5.222222222222222,18051.239999999987,logarithmic-150-10-2-1.4
12,logarithmic,150,10,3,1.4,51,0.22131552917903066,-0.07821247083717008,6.285714285714286,18586.03,logarithmic-150-10-3-1.4
13,logarithmic,150,10,4,1.4,49,0.21463897131552917,-0.07821247083717008,6.0,17976.97000000001,logarithmic-150-10-4-1.4
14,logarithmic,150,10,5,1.4,47,0.20400593471810088,-0.07819032323324084,5.714285714285714,17551.39,logarithmic-150-10-5-1.4
15,logarithmic,150,10,1,1.6,66,0.3073689416419387,-0.0930632776626131,4.076923076923077,20124.789999999983,logarithmic-150-10-1-1.6
16,logarithmic,150,10,2,1.6,59,0.2665677546983185,-0.08217799338581147,5.555555555555555,19466.819999999992,logarithmic-150-10-2-1.6
17,logarithmic,150,10,3,1.6,53,0.22725024727992088,-0.07984571304396793,6.571428571428571,19886.49999999999,logarithmic-150-10-3-1.6
18,logarithmic,150,10,4,1.6,51,0.2205736894164194,-0.07984571304396793,6.285714285714286,19258.14000000001,logarithmic-150-10-4-1.6
19,logarithmic,150,10,5,1.6,49,0.2099406528189911,-0.0802234529520358,6.0,18795.88000000001,logarithmic-150-10-5-1.6
20,logarithmic,150,10,1,1.8,67,0.31008902077151335,-0.09284168701836049,4.153846153846154,20461.170000000002,logarithmic-150-10-1-1.8
21,logarithmic,150,10,2,1.8,59,0.2665677546983185,-0.08217799338581147,5.555555555555555,19466.819999999992,logarithmic-150-10-2-1.8
22,logarithmic,150,10,3,1.8,53,0.22725024727992088,-0.07984571304396793,6.571428571428571,19886.49999999999,logarithmic-150-10-3-1.8
