numSell,exposure,drawdown,winLoss,value,delay,fast,slow,sig
68,0.8946740858505564,-0.2469273141385629,1.125,14614.748534999997,1,16,8,3
66,0.901033386327504,-0.214398344138112,1.4444444444444444,13538.460400000007,2,16,8,3
45,0.9201112877583466,-0.20822224599265107,1.5,13609.551033000012,3,16,8,3
26,0.9248807631160573,-0.33912271269846966,1.6,13115.430916999998,4,16,8,3
9,0.9610492845786963,-0.23975754034908336,3.5,21229.38,5,16,8,3
62,0.9161367249602543,-0.21741696824006823,1.0,15530.869540999978,1,18,8,3
59,0.901033386327504,-0.22977171387557369,1.1071428571428572,13764.380349000001,2,18,8,3
43,0.9288553259141494,-0.2254242839033115,2.3076923076923075,17025.560262000006,3,18,8,3
21,0.9129570747217806,-0.20009821402249542,1.1,13643.850747999999,4,18,8,3
10,0.8163751987281399,-0.23100248545869548,1.5,14544.219508000002,5,18,8,3
59,0.9081875993640699,-0.20314064769295775,1.1851851851851851,15280.64994999999,1,20,8,3
57,0.9292527821939587,-0.2229236768580548,1.375,17692.890493999992,2,20,8,3
45,0.9296502384737679,-0.22544256265444806,1.25,12545.811600000012,3,20,8,3
16,1.0007949125596185,-0.33639220037871764,1.6666666666666667,18071.169984999982,4,20,8,3
7,0.8231319554848967,-0.33509273151797414,1.3333333333333333,19951.759836999998,5,20,8,3
110,0.5290143084260731,-0.2845585076692031,4.0,18252.63078799999,1,2,11,3
72,0.4566772655007949,-0.282422621823792,2.789473684210526,11776.535830999981,2,2,11,3
100,0.5429252782193958,-0.2826693614862388,2.4482758620689653,15689.238676999992,1,4,11,3
80,0.5468998410174881,-0.32168782142760255,1.8571428571428572,12596.434095999999,2,4,11,3
39,0.46621621621621623,-0.17528335578114643,2.25,14296.710734999999,3,4,11,3
13,0.44038155802861684,-0.33524891877584206,3.3333333333333335,10918.040495,4,4,11,3
107,0.5552464228934817,-0.28457619080110247,2.34375,14013.164952999996,1,6,11,3
92,0.5468998410174881,-0.27479826993786427,2.066666666666667,14200.262174999987,2,6,11,3
42,0.47178060413354533,-0.1668888193239517,3.2,15339.544910000011,3,6,11,3
16,0.5027821939586645,-0.22705073068775275,2.2,12272.890186,4,6,11,3
5,0.8998410174880763,-0.336855725947867,inf,19941.840339000006,5,6,11,3
110,0.5576311605723371,-0.2873759827395774,2.3333333333333335,16316.344019999993,1,8,11,3
89,0.5735294117647058,-0.294990986585399,1.78125,13660.828660999994,2,8,11,3
38,0.5405405405405406,-0.26853185793267104,1.9230769230769231,13955.338948999994,3,8,11,3
11,0.5480922098569158,-0.2636298501587996,1.2,9394.019857999996,4,8,11,3
4,0.3672496025437202,-0.23723605220028485,1.0,11529.700095999999,5,8,11,3
109,0.5600158982511924,-0.28393605715211206,1.794871794871795,16053.465921000026,1,10,11,3
67,0.6104928457869634,-0.28294367907921214,4.153846153846154,18299.050267,2,10,11,3
21,0.6562003179650239,-0.38061101541549924,1.625,13323.168407999998,3,10,11,3
6,0.6728934817170111,-0.3841653861443647,2.0,13105.990413000001,4,10,11,3
1,0.028616852146263912,-0.02511394288903358,inf,10736.0,5,10,11,3
99,0.886724960254372,-0.202527974622352,1.302325581395349,15752.080520999998,1,12,11,3
73,0.8235294117647058,-0.24122797553451067,1.1470588235294117,10414.060661999998,2,12,11,3
20,0.699523052464229,-0.22858041520580266,2.3333333333333335,16893.180687,3,12,11,3
6,0.8950715421303657,-0.3403571699461382,5.0,23841.959945999995,4,12,11,3
1,0.9125596184419714,-0.3395499046183585,inf,18449.290180000004,5,12,11,3
91,0.884737678855326,-0.22418008103211548,1.6,15556.150315000003,1,14,11,3
79,0.8791732909379968,-0.18906552411409538,1.393939393939394,14237.699422999996,2,14,11,3
37,0.8648648648648649,-0.23073012053750877,1.8461538461538463,14290.680236999995,3,14,11,3
13,0.7682829888712241,-0.3333365387701275,2.25,12930.730174999995,4,14,11,3
3,1.1343402225755166,-0.34666472999559944,inf,16329.270452,5,14,11,3
70,0.9050079491255962,-0.20875332715998654,1.3333333333333333,13824.218322000013,1,16,11,3
63,0.9260731319554849,-0.26108113457009646,1.3333333333333333,11855.793997999992,2,16,11,3
37,0.8517488076311606,-0.299062189116783,1.1764705882352942,10780.460348999994,3,16,11,3
16,0.8430047694753577,-0.3543143573884423,1.6666666666666667,18195.950353,4,16,11,3
5,0.6589825119236884,-0.3374213538900865,4.0,17441.199417,5,16,11,3
58,0.9018282988871225,-0.21026866401381372,1.0714285714285714,14530.354546999999,1,18,11,3
56,0.8966613672496025,-0.2169260020695005,1.3333333333333333,16276.989130999986,2,18,11,3
40,0.895866454689984,-0.17578555900102136,2.076923076923077,21068.592479000003,3,18,11,3
21,0.9805246422893482,-0.1768075854112255,1.3333333333333333,20776.668782,4,18,11,3
7,0.8549284578696343,-0.23236439037593193,6.0,26603.989763999994,5,18,11,3
56,0.9145468998410174,-0.2360053919860707,1.434782608695652,14834.564368000003,1,20,11,3
55,0.9018282988871225,-0.23702246734182272,1.619047619047619,15857.998448999995,2,20,11,3
44,0.8700317965023847,-0.2012035646955761,1.588235294117647,16783.539939000006,3,20,11,3
24,0.9332273449920508,-0.21737984006021197,2.0,28441.649829000005,4,20,11,3
12,0.6641494435612083,-0.2504934095061545,11.0,19557.360193000004,5,20,11,3
97,0.5047694753577107,-0.28450174131724487,3.85,17727.92163199998,1,2,14,3
64,0.45906200317965024,-0.2820803513681145,3.2666666666666666,13348.780448999987,2,2,14,3
91,0.5103338632750397,-0.2869818740786235,2.7916666666666665,16171.347829000006,1,4,14,3
77,0.5226550079491256,-0.2847881393725424,2.6666666666666665,13476.658626999986,2,4,14,3
43,0.44594594594594594,-0.27355549749662506,3.3,11734.914540000007,3,4,14,3
14,0.3656597774244833,-0.3387089243719884,1.8,9713.389842999994,4,4,14,3
82,0.537758346581876,-0.28476307875750057,2.5652173913043477,12379.79513799999,1,6,14,3
71,0.514308426073132,-0.27026030210660196,3.176470588235294,15530.069608000003,2,6,14,3
40,0.4185214626391097,-0.2689034851492413,3.0,13027.580628000003,3,6,14,3
19,0.3449920508744038,-0.18849541928836336,1.7142857142857142,14992.220168000007,4,6,14,3
7,0.40063593004769477,-0.1990004132363336,2.5,12745.480099999999,5,6,14,3
78,0.5429252782193958,-0.28580249567993715,2.9,15663.37453900001,1,8,14,3
71,0.548489666136725,-0.2681783409450569,2.227272727272727,16775.148911999993,2,8,14,3
46,0.5437201907790143,-0.26771466251363335,2.8333333333333335,17387.339283999994,3,8,14,3
21,0.5115262321144675,-0.24059807439708847,2.0,13160.91093100001,4,8,14,3
3,0.2921303656597774,-0.1651177363420201,2.0,11127.689657000003,5,8,14,3
85,0.5516693163751988,-0.28470013239158426,2.4,14917.758241999993,1,10,14,3
72,0.5715421303656598,-0.2704018222690991,2.6,21315.979633000003,2,10,14,3
45,0.6057233704292527,-0.268051643548909,2.75,18997.550353000013,3,10,14,3
18,0.5854531001589826,-0.2634456926728771,2.0,13390.770181,4,10,14,3
6,0.5937996820349761,-0.1655069630196057,inf,18148.240041,5,10,14,3
92,0.5445151033386327,-0.28302374623349835,2.1724137931034484,17243.424263999994,1,12,14,3
64,0.5588235294117647,-0.2690512664504489,2.3684210526315788,19742.82971300001,2,12,14,3
