,fast,slow,sig,delay,numSell,exposure,drawdown,winLoss,value,zzz
64,13,17,9,1,12,0.589958159,-0.08850666,3,12882.62,13-17-9-1
49,9,19,3,2,13,0.537656904,-0.08408547,5.5,12872.38,9-19-3-2
67,9,19,11,4,8,0.474895397,-0.052155018,inf,12871.86,9-19-11-4
12,5,6,7,3,5,0.617154812,-0.050534649,inf,12870.87,5-6-7-3
3,7,13,11,2,14,0.550209205,-0.08408547,6,12870.59,7-13-11-2
27,11,14,11,2,11,0.579497908,-0.08584947,10,12868.31,11-14-11-2
66,9,14,3,1,16,0.539748954,-0.08850666,7,12862.59,9-14-3-1
14,11,14,5,1,15,0.566945607,-0.08850666,4,12861.66,11-14-5-1
46,9,12,3,1,19,0.546025105,-0.08850666,2.8,12861,9-12-3-1
3,5,6,3,2,13,0.376569038,-0.04041633,3.333333333,12857.8246,5-6-3-2
2,5,6,3,1,32,0.430962343,-0.040081697,3.571428571,12853.98,5-6-3-1
44,7,12,3,1,18,0.533472803,-0.08850666,8,12852.98,7-12-3-1
11,11,21,11,4,9,0.59832636,-0.07666548,8,12850.625,11-21-11-4
0,11,21,7,1,13,0.573221757,-0.08850666,5.5,12846.97,11-21-7-1
48,11,16,11,3,11,0.554393305,-0.052162857,4.5,12844.8,11-16-11-3
50,9,19,3,3,8,0.464435146,-0.058075595,inf,12838.78,9-19-3-3
22,7,9,11,3,11,0.489539749,-0.05228674,10,12837.14,7-9-11-3
72,11,21,3,3,7,0.336820084,-0.028163848,6,12835.69,11-21-3-3
54,13,27,3,1,10,0.485355649,-0.08850666,9,12835.3,13-27-3-1
2,11,21,7,3,12,0.562761506,-0.052286056,11,12829.51,11-21-7-3
8,11,21,11,1,11,0.537656904,-0.08850666,2.666666667,12819.53,11-21-11-1
56,3,5,11,1,17,0.518828452,-0.07666548,7.5,12819.27,3-5-11-1
58,9,19,7,3,10,0.546025105,-0.08584947,9,12814.29,9-19-7-3
5,7,13,11,4,7,0.564853556,-0.052224815,inf,12810.23,7-13-11-4
20,7,15,9,3,13,0.564853556,-0.058313529,12,12799.62,7-15-9-3
